Metric,Default RF,Tuned RF,Improvement,Improvement %
Accuracy,0.8512769153730596,0.8547821732598898,0.0035052578868302042,0.4117647058823481
Precision,0.8220338983050848,0.8481203007518797,0.026086402446794943,3.173397411053405
Recall,0.7729083665338645,0.749003984063745,-0.0239043824701195,-3.0927835051546366
F1-Score,0.7967145790554415,0.7954866008462623,-0.0012279782091791924,-0.15413025460573884
ROC-AUC,0.9193355196577037,0.9199365453512851,0.0006010256935814473,0.06537609835908736
