feature,importance
country_PRT,0.08750637683654673
has_non_refund_deposit,0.07292270034442934
deposit_risk_low,0.07093513573533254
deposit_risk_high,0.06839884741598003
market_segment_online_ta,0.05395935342364292
has_deposit,0.04957153323483861
is_last_minute_lead_time,0.04868512986349591
reservation_status_date_days_since_ref,0.04724831969317771
lead_time_risk_score,0.038609589637847976
has_special_requirements,0.03502977365127955
special_requests_level_None,0.03481055253183971
is_advance_lead_time,0.02772063064816464
reservation_status_date_day_of_year,0.02749489696488597
reservation_status_date_week_of_year,0.026474605988134992
market_segment_offline_ta_to,0.026091605825927865
reservation_status_date_dayofweek,0.025844114023762382
reservation_status_date_dayofweek_sin,0.024881863100256186
reservation_status_date_day,0.017104705057835366
reservation_status_date_is_weekend,0.016430239050935904
medium_risk_segment,0.015832799555824156
reservation_status_date_year,0.014853244169625537
market_segment_groups,0.014470401957435906
reservation_status_date_month_cos,0.013920534843935208
low_risk_segment,0.012784185947197647
reservation_status_date_month,0.011481944562016384
is_normal_lead_time,0.00999500377418277
reservation_status_date_month_sin,0.009433505650410927
high_risk_segment,0.008875608875777393
reservation_status_date_quarter,0.008760308440795396
room_type_A,0.008396934655801798
reservation_status_date_season,0.007137164829144985
reservation_status_date_dayofweek_cos,0.006831411679272449
market_segment_direct,0.0066423490989531075
country_GBR,0.006638112196690447
country_other,0.005927194289047506
country_FRA,0.005865227915111154
special_requests_level_Medium,0.004789608436738269
room_type_D,0.003186837891572518
reservation_status_date_is_holiday_season,0.0028374918530001247
country_DEU,0.0027836996839505656
country_ESP,0.0027488079969558705
market_segment_corporate,0.0025249945226096322
reservation_status_date_is_peak_season,0.002493325248953945
room_type_E,0.0017320295981375126
reservation_status_date_is_month_start,0.0015137297552351222
country_ITA,0.0014094719538273253
room_type_B,0.0010668847796329532
room_type_F,0.0009435001888482994
reservation_status_date_is_month_end,0.0009109366914704167
country_IRL,0.0007718531482287049
room_type_C,0.0005803944711626123
room_type_other,0.0005609634541258248
room_type_G,0.0004928564413294618
market_segment_other,0.0004514671045037448
deposit_risk_medium,0.00041769451751103823
has_refundable_deposit,0.0002175467926689182
