feature,importance
country_PRT,0.06797809964858627
market_segment_online_ta,0.06332649434076201
market_segment_offline_ta_to,0.054684953316035935
is_last_minute_lead_time,0.05138260164236265
has_non_refund_deposit,0.0478517860817667
deposit_risk_low,0.04785178608176281
has_deposit,0.04674954423254062
deposit_risk_high,0.04674954423253992
lead_time_risk_score,0.04303214053095799
reservation_status_date_dayofweek,0.03529605588303718
has_special_requirements,0.03441238584683476
special_requests_level_None,0.03441238584683476
country_FRA,0.030166961096170567
country_DEU,0.025615911618252687
country_GBR,0.02473713610868686
is_advance_lead_time,0.024461589343269446
reservation_status_date_dayofweek_cos,0.021910980125973454
reservation_status_date_month_cos,0.020764478702423945
medium_risk_segment,0.019598449324542955
reservation_status_date_month_sin,0.018371984337007426
country_other,0.018100078352719016
market_segment_groups,0.01602654493088791
high_risk_segment,0.01602654493088791
market_segment_corporate,0.015657319283886438
country_IRL,0.015216925270346897
room_type_A,0.014051374228231911
is_normal_lead_time,0.013757876690279464
reservation_status_date_year,0.013746569633106536
special_requests_level_Medium,0.01369077524420805
reservation_status_date_dayofweek_sin,0.009301451213694736
low_risk_segment,0.008683025949174172
reservation_status_date_month,0.007905112686512906
room_type_F,0.007741355413658669
deposit_risk_medium,0.007560937368289331
has_refundable_deposit,0.0075609373682891425
reservation_status_date_is_weekend,0.0075362620501667815
room_type_other,0.007514093381470024
room_type_D,0.007502137735620325
country_ESP,0.006551582461007374
room_type_C,0.005771872039352979
room_type_G,0.005673582766307886
room_type_B,0.0048642381107328325
market_segment_other,0.003563890538811811
reservation_status_date_day,0.0035581775732239198
room_type_E,0.0024729654589639117
country_ITA,0.0005400389198709497
market_segment_direct,6.906205994910769e-05
