Metric,Default RF,Tuned RF,Improvement,Improvement %
Accuracy,0.8512769153730596,0.8582874311467201,0.0070105157736605195,0.8235294117647093
Precision,0.8238636363636364,0.8466076696165191,0.022744033252882767,2.7606550706947357
Recall,0.7702523240371846,0.7622841965471447,-0.007968127490039834,-1.0344827586206888
F1-Score,0.7961564859299931,0.8022361984626136,0.006079712532620518,0.7636328586231117
ROC-AUC,0.9198970463270179,0.9174459717400495,-0.0024510745869683603,-0.2664509682637918
